"Btw";"Perioden";"Aardgas/Transporttarief (Euro/jaar)";"Aardgas/Vast leveringstarief (Euro/jaar)";"Aardgas/Variabel leveringstarief contractprijs (Euro/m3)";"Aardgas/Variabel leveringstarief prijsplafond (Euro/m3)";"Aardgas/Energiebelasting (Euro/m3)";"Elektriciteit/Transporttarief (Euro/jaar)";"Elektriciteit/Vast leveringstarief (Euro/jaar)";"Elektriciteit/Variabel leveringstarief contractprijs (Euro/kWh)";"Elektriciteit/Variabel leveringstarief prijsplafond (Euro/kWh)";"Elektriciteit/Energiebelasting (Euro/kWh)";"Elektriciteit/Vermindering energiebelasting (Euro/jaar)"
"Inclusief btw";"2021 januari";"  187.85";"   67.48";"  0.2781";"";" 0.42176";"  257.35";"   67.49";"  0.0661";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 februari";"  187.85";"   67.73";"  0.2763";"";" 0.42176";"  257.35";"   67.73";"  0.0657";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 maart";"  187.85";"   67.95";"  0.2752";"";" 0.42176";"  257.35";"   67.96";"  0.0657";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 april";"  187.85";"   68.25";"  0.2754";"";" 0.42176";"  257.35";"   68.25";"  0.0659";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 mei";"  187.85";"   68.56";"  0.2764";"";" 0.42176";"  257.35";"   68.56";"  0.0663";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 juni";"  187.85";"   68.86";"  0.2779";"";" 0.42176";"  257.35";"   68.84";"  0.0670";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 juli";"  187.85";"   69.31";"  0.2930";"";" 0.42176";"  257.35";"   69.34";"  0.0734";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 augustus";"  187.85";"   69.54";"  0.2958";"";" 0.42176";"  257.35";"   69.57";"  0.0745";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 september";"  187.85";"   69.73";"  0.2992";"";" 0.42176";"  257.35";"   69.76";"  0.0755";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 oktober";"  187.85";"   69.95";"  0.3056";"";" 0.42176";"  257.35";"   69.98";"  0.0773";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 november";"  187.85";"   70.20";"  0.3311";"";" 0.42176";"  257.35";"   70.22";"  0.0830";"";" 0.11408";" -558.56"
"Inclusief btw";"2021 december";"  187.85";"   70.48";"  0.3564";"";" 0.42176";"  257.35";"   70.50";"  0.0890";"";" 0.11408";" -558.56"
"Inclusief btw";"2021";"  187.85";"   69.00";"  0.2950";"";" 0.42176";"  257.35";"   69.02";"  0.0725";"";" 0.11408";" -558.56"
"Inclusief btw";"2022 januari";"  191.33";"   71.11";"  0.5036";"";" 0.43950";"  267.12";"   71.11";"  0.1256";"";" 0.04452";" -824.77"
"Inclusief btw";"2022 februari";"  191.33";"   71.69";"  0.5493";"";" 0.43950";"  267.12";"   71.66";"  0.1377";"";" 0.04452";" -824.77"
"Inclusief btw";"2022 maart";"  191.33";"   71.97";"  0.5696";"";" 0.43950";"  267.12";"   71.94";"  0.1410";"";" 0.04452";" -824.77"
"Inclusief btw";"2022 april";"  191.33";"   72.18";"  0.6307";"";" 0.43950";"  267.12";"   72.16";"  0.1546";"";" 0.04452";" -824.77"
"Inclusief btw";"2022 mei";"  191.33";"   72.43";"  0.6716";"";" 0.43950";"  267.12";"   72.40";"  0.1634";"";" 0.04452";" -824.77"
"Inclusief btw";"2022 juni";"  191.33";"   72.62";"  0.6928";"";" 0.43950";"  267.12";"   72.59";"  0.1691";"";" 0.04452";" -824.77"
"Inclusief btw";"2022 juli";"  172.35";"   65.58";"  0.7698";"";" 0.39591";"  240.63";"   65.51";"  0.1793";"";" 0.04010";" -742.98"
"Inclusief btw";"2022 augustus";"  172.35";"   65.71";"  0.7975";"";" 0.39591";"  240.63";"   65.64";"  0.1882";"";" 0.04010";" -742.98"
"Inclusief btw";"2022 september";"  172.35";"   65.03";"  0.8856";"";" 0.39591";"  240.63";"   65.74";"  0.2096";"";" 0.04010";" -742.98"
"Inclusief btw";"2022 oktober";"  172.35";"   65.89";"  1.0886";"";" 0.39591";"  240.63";"   65.80";"  0.2592";"";" 0.04010";" -742.98"
"Inclusief btw";"2022 november";"  172.35";"   66.02";"  1.4979";"";" 0.39591";"  240.63";"   65.92";"  0.3782";"";" 0.04010";" -742.98"
"Inclusief btw";"2022 december";"  172.35";"   66.08";"  1.5162";"";" 0.39591";"  240.63";"   66.20";"  0.4028";"";" 0.04010";" -742.98"
"Inclusief btw";"2022";"  181.84";"   68.86";"  0.8478";"";" 0.41771";"  253.88";"   68.89";"  0.2091";"";" 0.04231";" -783.88"
"Inclusief btw";"2023 januari";"  217.69";"   73.47";"  1.9961";"  0.9235";" 0.59266";"  342.16";"   73.20";"  0.5150";"  0.2619";" 0.15245";" -596.86"
"Inclusief btw";"2023 februari";"  217.69";"   73.53";"  1.8467";"  0.9040";" 0.59266";"  342.16";"   73.26";"  0.4743";"  0.2558";" 0.15245";" -596.86"
"Inclusief btw";"2023 maart";"  217.69";"   73.60";"  1.7209";"  0.8875";" 0.59266";"  342.16";"   73.33";"  0.4307";"  0.2489";" 0.15245";" -596.86"
"Inclusief btw";"2023 april";"  217.69";"   73.68";"  1.1846";"  0.8073";" 0.59266";"  342.16";"   73.40";"  0.2979";"  0.2260";" 0.15245";" -596.86"
"Inclusief btw";"2023 mei";"  217.69";"   73.75";"  0.9520";"  0.7605";" 0.59266";"  342.16";"   73.46";"  0.2507";"  0.2167";" 0.15245";" -596.86"
"Inclusief btw";"2023 juni";"  217.69";"   73.81";"  0.8902";"  0.7453";" 0.59266";"  342.16";"   73.51";"  0.2343";"  0.2130";" 0.15245";" -596.86"
"Inclusief btw";"2023 juli";"  217.69";"   74.67";"  0.6951";"  0.6811";" 0.59266";"  342.16";"   74.45";"  0.2017";"  0.1980";" 0.15245";" -596.86"
"Inclusief btw";"2023 augustus";"  217.69";"   75.02";"  0.6697";"  0.6617";" 0.59266";"  342.16";"   74.77";"  0.1963";"  0.1941";" 0.15245";" -596.86"
"Inclusief btw";"2023 september";"  217.69";"   75.44";"  0.6683";"  0.6611";" 0.59266";"  342.16";"   75.22";"  0.1964";"  0.1945";" 0.15245";" -596.86"
"Inclusief btw";"2023 oktober";"  217.69";"   75.13";"  0.6609";"  0.6541";" 0.59266";"  342.16";"   78.02";"  0.1922";"  0.1905";" 0.15245";" -596.86"
"Inclusief btw";"2023 november";"  217.69";"   74.21";"  0.6834";"  0.6777";" 0.59266";"  342.16";"   81.62";"  0.1972";"  0.1958";" 0.15245";" -596.86"
"Inclusief btw";"2023 december";"  217.69";"   74.62";"  0.6927";"  0.6882";" 0.59266";"  342.16";"   81.95";"  0.1994";"  0.1983";" 0.15245";" -596.86"
"Inclusief btw";"2023";"  217.69";"   74.24";"  1.0551";"  0.7543";" 0.59266";"  342.16";"   75.52";"  0.2822";"  0.2161";" 0.15245";" -596.86"
"Inclusief btw";"2024 januari";"  232.39";"   73.85";"  0.6980";"";" 0.70544";"  415.67";"   89.20";"  0.1998";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 februari";"  232.39";"   74.42";"  0.6896";"";" 0.70544";"  415.67";"   89.70";"  0.1988";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 maart";"  232.39";"   75.23";"  0.6769";"";" 0.70544";"  415.67";"   90.96";"  0.1936";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 april";"  232.39";"   75.85";"  0.6381";"";" 0.70544";"  415.67";"   92.28";"  0.1823";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 mei";"  232.39";"   77.83";"  0.5904";"";" 0.70544";"  415.67";"   95.86";"  0.1729";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 juni";"  232.39";"   78.49";"  0.5859";"";" 0.70544";"  415.67";"   97.35";"  0.1703";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 juli";"  232.39";"   79.63";"  0.5752";"";" 0.70544";"  415.67";"   98.24";"  0.1570";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 augustus";"  232.39";"   81.13";"  0.5870";"";" 0.70544";"  415.67";"   97.71";"  0.1515";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 september";"  232.39";"   81.49";"  0.5880";"";" 0.70544";"  415.67";"   98.65";"  0.1512";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 oktober";"  232.39";"   81.86";"  0.6097";"";" 0.70544";"  415.67";"   99.57";"  0.1572";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 november";"  232.39";"   82.27";"  0.6224";"";" 0.70544";"  415.67";"  100.28";"  0.1595";"";" 0.13165";" -631.35"
"Inclusief btw";"2024 december";"  232.39";"   82.68";"  0.6222";"";" 0.70544";"  415.67";"  101.06";"  0.1584";"";" 0.13165";" -631.35"
"Inclusief btw";"2024";"  232.39";"   78.73";"  0.6236";"";" 0.70544";"  415.67";"   95.90";"  0.1710";"";" 0.13165";" -631.35"
"Inclusief btw";"2025 januari";"  247.55";"   84.79";"  0.6332";"";" 0.69957";"  467.17";"  104.76";"  0.1589";"";" 0.12286";" -635.19"
"Inclusief btw";"2025 februari*";"  247.55";"   87.56";"  0.6454";"";" 0.69957";"  467.17";"  106.31";"  0.1584";"";" 0.12286";" -635.19"
