"Type of data";"Periods";"Expenditure approach to GDP/Disposable for final expenditure/Gross domestic product (million euros)"
"Prices of 2015";"1995";"  469502"
"Prices of 2015";"1996";"  485928"
"Prices of 2015";"1997";"  506964"
"Prices of 2015";"1998";"  530609"
"Prices of 2015";"1999";"  557320"
"Prices of 2015";"2000";"  580703"
"Prices of 2015";"2001";"  594216"
"Prices of 2015";"2002";"  595507"
"Prices of 2015";"2003";"  596434"
"Prices of 2015";"2004";"  608273"
"Prices of 2015";"2005";"  620748"
"Prices of 2015";"2006";"  642232"
"Prices of 2015";"2007";"  666462"
"Prices of 2015";"2008";"  680926"
"Prices of 2015";"2009";"  655958"
"Prices of 2015";"2010";"  664765"
"Prices of 2015";"2011";"  675077"
"Prices of 2015";"2012";"  668121"
"Prices of 2015";"2013";"  667252"
"Prices of 2015";"2014";"  676749"
"Prices of 2015";"2015";"  690008"
"Prices of 2015";"2016";"  705131"
"Prices of 2015";"2017";"  725657"
"Prices of 2015";"2018";"  742789"
"Prices of 2015";"2019";"  757315"
"Prices of 2015";"2020";"  727885"
"Prices of 2015";"2021";"  772954"
"Prices of 2015";"2022*";"  806415"
"Prices of 2015";"2023*";"  807350"
"Current prices";"1995";"  329547"
"Current prices";"1996";"  344625"
"Current prices";"1997";"  369046"
"Current prices";"1998";"  394295"
"Current prices";"1999";"  419459"
"Current prices";"2000";"  452007"
"Current prices";"2001";"  481881"
"Current prices";"2002";"  501137"
"Current prices";"2003";"  512810"
"Current prices";"2004";"  529286"
"Current prices";"2005";"  550883"
"Current prices";"2006";"  584546"
"Current prices";"2007";"  619170"
"Current prices";"2008";"  647198"
"Current prices";"2009";"  624842"
"Current prices";"2010";"  639187"
"Current prices";"2011";"  650359"
"Current prices";"2012";"  652966"
"Current prices";"2013";"  660463"
"Current prices";"2014";"  671560"
"Current prices";"2015";"  690008"
"Current prices";"2016";"  708337"
"Current prices";"2017";"  738146"
"Current prices";"2018";"  773987"
"Current prices";"2019";"  813055"
"Current prices";"2020";"  796530"
"Current prices";"2021";"  870587"
"Current prices";"2022*";"  958549"
"Current prices";"2023*";" 1034086"
