"Periods";"Total renewable energy sources";"Hydropower";"Wind energy, total";"Onshore wind energy";"Offshore wind energy";"Solar photovoltaic";"Total biomass";"Municipal waste; renewable fraction";"Co-firing of biomass in electr. plants";"Biomass boilers companies, CHP";"Total biogas";"Biogas from landfills";"Biogas from sewage water purification";"Biogas, co-digestion of manure";"Other biogas"
"1990";"807";"85";"56";"56";"";"0";"665";"539";"";"34";"91";"17";"71";"";"4"
"1991";"935";"104";"88";"88";"";"1";"742";"588";"";"34";"120";"29";"87";"";"4"
"1992";"994";"120";"147";"147";"";"1";"726";"567";"";"30";"129";"32";"92";"";"5"
"1993";"1107";"92";"174";"174";"";"1";"839";"634";"";"25";"180";"78";"95";"";"7"
"1994";"1257";"100";"238";"238";"";"1";"918";"661";"";"31";"225";"124";"98";"";"3"
"1995";"1404";"88";"317";"317";"";"2";"998";"703";"4";"36";"254";"142";"106";"";"7"
"1996";"1816";"80";"437";"437";"";"2";"1297";"953";"42";"30";"272";"160";"102";"";"10"
"1997";"2015";"92";"475";"475";"";"3";"1446";"1108";"40";"31";"267";"145";"113";"";"8"
"1998";"2328";"112";"640";"640";"";"4";"1572";"1188";"101";"27";"257";"149";"98";"";"10"
"1999";"2509";"90";"645";"645";"";"5";"1768";"1261";"165";"66";"276";"153";"109";"";"14"
"2000";"2979";"142";"829";"829";"";"8";"1999";"1272";"208";"234";"286";"158";"111";"";"17"
"2001";"3309";"117";"825";"825";"";"12";"2355";"1214";"591";"239";"310";"165";"129";"";"17"
"2002";"3981";"110";"947";"947";"";"16";"2908";"1207";"1134";"233";"333";"181";"130";"";"22"
"2003";"3969";"72";"1320";"1320";"";"25";"2552";"1208";"795";"223";"327";"171";"129";"";"28"
"2004";"5314";"95";"1871";"1871";"";"34";"3315";"1178";"1609";"235";"293";"138";"133";"";"22"
"2005";"7452";"88";"2067";"2067";"";"35";"5262";"1266";"3449";"253";"295";"131";"123";"9";"32"
"2006";"8049";"106";"2734";"2666";"68";"37";"5173";"1312";"3244";"256";"361";"127";"132";"59";"44"
"2007";"7584";"107";"3438";"3108";"330";"38";"4001";"1395";"1816";"279";"511";"114";"143";"187";"67"
"2008";"9533";"102";"4260";"3664";"596";"40";"5132";"1409";"2248";"741";"733";"109";"150";"370";"104"
"2009";"10835";"98";"4581";"3846";"735";"45";"6111";"1572";"2615";"1009";"916";"100";"151";"528";"137"
"2010";"11196";"105";"3993";"3315";"679";"56";"7043";"1763";"3237";"1015";"1028";"93";"164";"575";"196"
"2011";"12320";"57";"5100";"4298";"802";"104";"7059";"2034";"3182";"806";"1036";"82";"173";"562";"219"
"2012";"12481";"104";"4982";"4193";"789";"191";"7204";"2235";"2953";"1007";"1009";"68";"185";"550";"206"
"2013";"12106";"114";"5627";"4856";"771";"410";"5954";"2076";"1814";"1084";"980";"55";"194";"525";"206"
"2014";"11648";"112";"5797";"5049";"748";"725";"5013";"1909";"933";"1166";"1005";"46";"201";"525";"233"
"2015";"13685";"93";"7550";"6420";"1130";"1109";"4934";"1997";"514";"1388";"1036";"43";"206";"553";"233"
"2016";"14777";"100";"8170";"5901";"2269";"1602";"4905";"2005";"442";"1465";"993";"34";"208";"524";"227"
"2017";"17437";"61";"10569";"6869";"3700";"2208";"4599";"1904";"530";"1242";"923";"30";"196";"509";"189"
"2018";"18892";"72";"10549";"6918";"3630";"3709";"4561";"2172";"654";"849";"887";"23";"195";"493";"175"
"2019";"22796";"74";"11508";"7935";"3573";"5399";"5814";"2082";"1865";"972";"895";"21";"202";"471";"201"
"2020";"32740";"46";"15278";"9794";"5484";"8568";"8848";"2193";"4762";"1022";"870";"14";"205";"447";"204"
"2021";"40433";"88";"18123";"10058";"8066";"11304";"10918";"2208";"6770";"1071";"868";"13";"180";"457";"218"
"2022";"48093";"50";"21566";"13440";"8126";"16657";"9820";"2225";"5541";"1214";"840";"14";"163";"447";"216"
"2023";"56952";"69";"29634";"17842";"11792";"19607";"7641";"1982";"3776";"1180";"704";"20";"157";"64";"106"
"2024";"62099";"85";"33509";"18021";"15488";"21822";"6682";"1883";"3319";"965";"514";"18";"157";"186";"153"
